Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,TMDB Genres,TMDB Year,TMDB Studio,TMDB Rating,TMDB Number of Ratings,TMDB Country,TMDB Language,TMDB Poster URL,TMDB Trailer Link,TMDB Description,TMDB Runtime,TMDB Budget,TMDB Revenue,TMDB Popularity
Daman,"Adventure, Drama",2022-11-04,JP Motion Pictures,82,N/A,A dedicated healer battles both a deadly parasite and deep-rooted superstitions in a remote jungle wasteland.,🏥🦟🌲💊⛈️👨‍⚕️🙏🏽🚶‍♂️📽️🇮🇳,"Set in 2015, a young doctor is posted to a remote, malaria-affected tribal area in Odisha's Malkangiri district, where he must overcome personal frustration and local ignorance to implement a life-saving healthcare initiative.","Adventure, Drama",2022,"JP Motion Pictures, Mentis Films",8,1,India,Oriya,https://image.tmdb.org/t/p/w500/mUHa29ySdqlCfDlrA3gqPxJNd9M.jpg,https://www.youtube.com/watch?v=QO7QKT111q8,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off of area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's journey of a doctor.",121,118000,,0.8848
Pulp Fiction,"Crime, Drama",1994-10-14,Miramax,92,N/A,Intertwined fates collide in a stylish underworld where a mysterious briefcase dictates the rhythm of survival.,🍔🔫🕺💼💉🚬🥩🍩🕶️🎬,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Thriller, Crime, Comedy",1994,"Miramax, A Band Apart, Jersey Films",8.483,30271,United States of America,"English, Spanish, French",https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,https://www.youtube.com/watch?v=tGpTpVyI_OQ,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",154,8000000,213928762,32.7957
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Animation, Action, Fantasy, Adventure",2021-09-18,ufotable,85,N/A,A shifting house echoes with the rhythm of rhythmic percussion as a frightened traveler and a wild beast hunt an immortal predator.,👹⚔️🥁🏠🐗⚡️🩸🎋👺🌑,"Tanjiro journeys to a mysterious mansion where the rooms rotate and change with the beat of a drum, encountering new allies while facing a former member of the Twelve Kizuki.","Animation, Action, Fantasy",2022,ufotable,7.403,176,Japan,Japanese,https://image.tmdb.org/t/p/w500/2yiDQCDj7hlq2SwLojV9xrFkCnr.jpg,,"Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma, a fellow survivor from Final Selection. His sparrow asks Tanjiro to help keep him in line. A recap of Kimetsu no Yaiba episodes 11–14, with new footage and special end credits.",87,,67358,1.3362
The Message,"Biography, Drama, History",1977-03-09,Filmco International,92,N/A,An unseen revolutionary spirit guides a desert-born movement that reshapes the world forever.,🏜️🕋📜⚔️🕌🕊️🐪🔥📖🙏,"An epic historical drama depicting the life and times of the prophet of Islam, told through the perspectives of those around him while respecting traditional visual restrictions.","Adventure, Drama, Action, History",1976,"Filmco International Productions, Falcon International Productions",7.178,398,"Libyan Arab Jamahiriya, United Kingdom, Lebanon, Kuwait, Morocco",English,https://image.tmdb.org/t/p/w500/qVCBMg4ZuLPnWhIWJHD9IP4nIuY.jpg,https://www.youtube.com/watch?v=gCyWycOx3nI,"In sixth-century Mecca, Prophet Muhammad receives his first revelation from God as a messenger. Three years later, he's not alone in his quest and publicly declares his prophecy. Muhammad is fought by Abu Sufian and his wife Hind, rulers of Mecca. Muhammad's followers are hunted and tortured but he continues his calling.",178,10000000,15000000,1.3897
Tosun Paşa,"Comedy, History, Adventure",1976-02-01,Arzu Film,85,N/A,Two rival clans clash over a fertile valley while a clumsy servant assumes a powerful mantle to tip the scales of nobility.,🏰🎩🏜️🐫🎭🤣🕌⚔️📜🔥,"In 19th-century Ottoman Alexandria, the Tellioğlu and Seferoğlu families fight for ownership of the Green Valley, leading to a hilarious deception involving a fake governor.",Comedy,1976,Arzu Film,8,135,Turkey,Turkish,https://image.tmdb.org/t/p/w500/zqgB6E4yynfxkzzOurzC0VRObxf.jpg,,"Late 19th century in Alexandria. Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter, Leyla. Both families try to arrange a marriage between a man from their family and Leyla, so that Daver Bey will be inclined to give the green valley to his ""relatives"". Tellioglus, who are behind in the race, desperately find a final solution: They will fake their idiotic butler, Saban, as the highest ranked Ottoman soldier in Egypt: Tosun Pasha.",90,64200,698200,0.4168
The Chaos Class Failed the Class,"Comedy, Drama",1975-01-01,Arzu Film,90,N/A,Mischievous perpetual students find their latest pranks and false identities clashing with the firm discipline of a legendary educator.,🏫😂🍎👨‍🏫📚🎒🥊🚬👨‍🎓🎺,"The students of the legendary class repeat their year only to encounter more hilarious obstacles and the arrival of a new, strict school official.",Comedy,1975,Arzu Film,7.721,149,Turkey,Turkish,https://image.tmdb.org/t/p/w500/zMfsVXGxJy2xh0FwUWcZ1XXDZus.jpg,https://www.youtube.com/watch?v=zTzDY81qv-o,A young and beautiful female teacher starts working in an all boys high school.,91,,,0.4653
Fight Club,Drama,1999-10-15,20th Century Fox,79,N/A,The cure for a mundane existence is found in the bruises shared between strangers and the collapse of credit history.,👊🧼🏢🏙️🧨🩸🧠🌑🧼🩹,An insomniac office worker and a devil-may-care soap maker form an underground society that evolves into a chaotic revolution against modern society.,"Drama, Thriller",1999,"Fox 2000 Pictures, Regency Enterprises, Linson Entertainment, 20th Century Fox, Taurus Film",8.438,32136,"Germany, United States of America",English,https://image.tmdb.org/t/p/w500/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,https://www.youtube.com/watch?v=dfeUzm6KF4g,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",139,63000000,100853753,28.9788
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",2001-12-19,New Line Cinema,91,N/A,A small soul carries a heavy burden across treacherous peaks to undo an ancient shadow.,💍🌋🏹🧝‍♂️🧙‍♂️⚔️🏔️🐎🌑📜,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Adventure, Fantasy, Action",2001,"New Line Cinema, WingNut Films, The Saul Zaentz Company",8.435,27646,"New Zealand, United States of America",English,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,https://www.youtube.com/watch?v=_nZdmwHrcnw,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",179,93000000,871368364,38.1307
Inception,"Action, Sci-Fi, Adventure",2010-07-16,Warner Bros. Pictures,87,N/A,"Deep within layered subconscious constructs, a spinning object challenges the permanence of the perceived world.",🌀🏙️💼🛌💭🕰️🔫✈️🏔️🔝,A professional thief who specializes in infiltrating dreams is offered a chance to clear his criminal record as payment for the complex task of planting an idea into a target's mind.,"Action, Science Fiction, Adventure",2010,"Legendary Pictures, Syncopy, Warner Bros. Pictures",8.372,39354,"United Kingdom, United States of America","English, French, Japanese, Swahili",https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,https://www.youtube.com/watch?v=cdx31ak4KbQ,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",148,160000000,839030630,33.1029
Forrest Gump,"Drama, Romance",1994-07-06,Paramount Pictures,71,N/A,A simple man's feather-light journey drifts through the most significant moments of a turbulent century.,🏃‍♂️🍫🕊️👟🏓🍤🎖️🌧️🌳🇺🇸,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Comedy, Drama, Romance",1994,"Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions",8.465,29825,United States of America,English,https://image.tmdb.org/t/p/w500/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,https://www.youtube.com/watch?v=Mj9IA9tTfio,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",142,55000000,677387716,28.6543
The Lord of the Rings: The Two Towers,"Action, Adventure, Drama, Fantasy",2002-12-18,New Line Cinema,95,N/A,An ancient alliance is tested as a kingdom prepares for an impossible stand against a tide of darkness.,🏰⚔️🐎🏔️💍👣🌑🧙‍♂️🏹🛡️,The second installment of the epic fantasy saga follows the divided fellowship as they face rising evil across a fractured landscape and prepare for a massive siege at a mountain fortress.,"Adventure, Fantasy, Action",2002,"New Line Cinema, WingNut Films, The Saul Zaentz Company",8.42,23960,"New Zealand, United States of America",English,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,https://www.youtube.com/watch?v=nuTU5XcZTLA,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",179,79000000,926287400,28.4174
"The Good, the Bad and the Ugly","Western, Adventure",1966-12-23,United Artists,97,N/A,Three distinct moral paths converge in a brutal hunt for buried gold amidst a nation divided by war.,🏜️🌵🔫💰🐎☀️🚬🎼⚰️⚔️,"During the American Civil War, three gunslingers with different moral compasses compete to find a hidden cache of stolen gold buried in a remote cemetery.",Western,1966,"United Artists, PEA, Arturo González PC, Constantin Film",8.468,9679,"United States of America, Italy, Spain, Germany",Italian,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,https://www.youtube.com/watch?v=WCnRSl24FPA,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",161,1200000,38900000,23.6148
Jai Bhim,"Crime, Drama, Mystery",2021-11-02,2D Entertainment,94,N/A,An unyielding advocate challenges a corrupt hierarchy to uncover the fate of a man vanished by those sworn to protect.,⚖️✊🏾🚔⛓️🤰🏾🩸🏛️🙏🏽🗳️🔥,A pregnant woman from a marginalized tribal community seeks justice with the help of a righteous lawyer after her husband is unlawfully detained and disappears from police custody.,"Crime, Drama, Mystery, History",2021,2D Entertainment,7.287,232,India,Tamil,https://image.tmdb.org/t/p/w500/ehybiOtBUtrMkmtB39zQEtq1Jie.jpg,,"A pregnant woman from a primitive tribal community, searches desperately for her husband, who is missing from police custody. So as to find her husband and seek justice for them, as their voice, a High Court advocate rises in support. Will their battle for justice succeed?",164,,,4.126
Kill Bill: The Whole Bloody Affair,"Action, Crime, Thriller",2011-03-27,Miramax Films,85,N/A,A betrayed survivor embarks on a relentless path of vengeance to cross every name off a lethal list.,⚔️🩸🐍🏯🏍️👰👘⛩️🐉💥,"The complete, uncut saga of a former assassin's quest for revenge against her former employer and his deadly squad.","Action, Crime",2011,"Miramax, A Band Apart, Super Cool ManChu",8.098,1311,United States of America,"English, Cantonese, Spanish, French, Japanese",https://image.tmdb.org/t/p/w500/nSOJfWJCdVFZQwXQA7RXn7FIIiY.jpg,https://www.youtube.com/watch?v=qbUz68h9BFo,"A former assassin, known simply as The Bride, wakes from a coma four years after her jealous ex-lover Bill attempts to murder her on her wedding day. Fueled by an insatiable desire for revenge, she vows to get even with every person who contributed to the loss of her unborn child, her entire wedding party, and four years of her life.  After devising a hit list, The Bride sets off on her quest, enduring unspeakable injury and unscrupulous enemies.",254,60000000,10627885,12.399
777 Charlie,"Adventure, Drama, Comedy",2022-06-10,Paramvah Studios,85,N/A,"A solitary existence is transformed by an unexpected arrival, leading to an arduous trek toward eternal peace.",🐕🏔️❄️🏢💔🫂🛣️🌅🐾😭,"The film follows the life of a lonely factory worker who lives a monotonous life until a spirited Labrador Retriever enters his world, sparking a life-changing journey across the country.","Drama, Adventure, Comedy",2022,"Paramvah Studios, KVN Productions, Suresh Productions, Stone Bench Creations",7.761,71,India,Kannada,https://image.tmdb.org/t/p/w500/qArPmXH0aWsT3SEtYl8XrU2Oz48.jpg,https://www.youtube.com/watch?v=Z3r7f9zw-mo,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie who is naughty and energetic which is a complete contrast with the Dharma’s character enters his life and gives him a new perspective towards it.,166,,,3.9419
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Action, Fantasy, Adventure",2020-10-17,ufotable,88,N/A,"Beneath the silver moon and tangled threads, a crimson strike tests the strength of family bonds.",⚔️🕷️🕸️🌑🏮👺🩸🔥🦋🏔️,"A special compilation film featuring the battle against the spider-demon family on a sinister mountain, where young swordsmen reach their limits.","Animation, Action, Fantasy",2021,ufotable,7.752,242,Japan,Japanese,https://image.tmdb.org/t/p/w500/wq1UG5lPCKpOJgmgpKJszKvoMUe.jpg,,"Tanjiro, now a registered Demon Slayer, teams up with fellow slayers Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. After the group is split up during a battle with possessed swordfighters, they slowly begin to realize the entire mountain is being controlled by a clan of Demon spider creatures. A recap of Kimetsu no Yaiba episodes 15–21, with new footage and special end credits.",138,,301723,3.8333
Manichithrathazhu,"Psychological Horror, Thriller, Drama, Mystery",1993-12-23,Swargachitra,95,N/A,A locked room hides a fractured mind dancing to the rhythm of an ancient obsession.,🗝️💃👁️🧠🎭🏚️📿🏺🕯️👣,"When a family moves into a haunted ancestral home, an investigative psychiatrist must uncover the dark history of a vengeful spirit and the truth behind a mysterious psychological transformation.","Horror, Comedy, Mystery",1993,Swargachitra,7.5,89,India,"Malayalam, Tamil",https://image.tmdb.org/t/p/w500/5YccrqvJFTfAVyEZp08I3fLx15y.jpg,https://www.youtube.com/watch?v=5peTNRAj8ZA,"A young couple, Ganga and Nakulan, arrives at the ancestral home called Madampalli of the latter. Hailing from a family that follows tradition and superstitions, Nakulan's uncle Thampi objects to the couple's idea of moving into the allegedly haunted mansion, which Nakulan ignores. The couple moves in anyway following which seemingly supernatural events begin to happen.",169,,,1.0399
#Home,"Drama, Comedy",2021-08-19,Friday Film House,85,N/A,An aging father attempts to rewrite his unremarkable legacy by mastering the glowing rectangles that keep his sons distant.,🏠📱👨‍👩‍👦‍👦👴📸🤳📽️☕️🌳❤️,"A technologically challenged father struggles to find relevance and connection with his modern, screen-addicted sons through the lens of social media.","Action, Adventure, Science Fiction",2021,"Marvel Studios, Pascal Pictures, Columbia Pictures",7.933,22055,United States of America,"English, Tagalog",https://image.tmdb.org/t/p/w500/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,https://www.youtube.com/watch?v=1mTjfMFyPi8,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",148,200000000,2019206586,41.4701
Balkan Spy,"Comedy, Drama",1984-09-01,Union Film,88,N/A,A former prisoner's descent into absolute paranoia turns a quiet suburb into a battlefield of imaginary espionage.,🕵️‍♂️🏠💊🇷🇸📞📸🔦🚔🤯🚬,"An ordinary man becomes obsessively convinced that his new tenant is a foreign agent, leading him to launch an amateur but increasingly dangerous surveillance operation fueled by past trauma.","Drama, Comedy",1984,Union film,7.7,63,Yugoslavia,Serbian,https://image.tmdb.org/t/p/w500/2YxqcDSawVkJ99jU0Ji1gJAKJan.jpg,https://www.youtube.com/watch?v=AvaoNm6NVkY,"Convinced that his subtenant is a spy and an enemy of the state, Ilija Čvorović falls into deep paranoia which leads to an absurd and destructive chain of events.",92,,,0.6668
Maratonci trče počasni krug,"Comedy, Drama",1982-03-12,Centar Film,94,N/A,Six generations of undertakers find their grim legacy threatened when the youngest heir prefers the flickering light of cinema over the cold reality of the casket.,⚰️👴💨🎭🚗💰🖤🔥🎬🏚️,"In 1930s Yugoslavia, the Topalović family of funeral directors operates a monopoly on death until internal greed and a rebellious youth ignite a chaotic firestorm of betrayal.","Comedy, Drama",1982,Centar film,7.6,102,Yugoslavia,Serbian,https://image.tmdb.org/t/p/w500/areHIloTHM5Es8hD4DgQgsjRhr9.jpg,,"The Topalović family has been in the burial business for generations. When the 150-year-old Pantelija dies, five generations of his heirs start to fight for the inheritance.",92,,,0.694
Süt Kardeşler,"Comedy, Mystery, Horror",1976-02-01,Arzu Film,92,N/A,A misunderstanding over shared maternal bonds leads a group into a mansion haunted by a legend wrapped in sheets.,🍼🥛🏰👻👵👳‍♂️🎭🤣😱🕯️,A legendary Turkish comedy set in the late Ottoman era where a case of mistaken identity involving foster siblings leads to a series of chaotic events in a supposedly haunted mansion.,"Comedy, Family",1976,Arzu Film,7.971,120,Turkey,Turkish,https://image.tmdb.org/t/p/w500/vGW4S5CBTiIdkFE0nX6wljMDLjo.jpg,,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is married to Hüsamettin's niece stays at Hüsamettin's family residence. Hüsamettin's sister thinks Ramazan is her foster son Saban when she realizes her mistake she introduces Ramazan to her brother as her son in law Bayram since she was afraid of Hüsamettin's short-tempered character. Things get complicated when real Saban and Bayram come to the residence. Now Saban has to be Ramazan and Bayram has to be Saban. Meanwhile, a gulyabani (a ghoul from Turkish folklore) haunts the residence.",80,,,0.4348
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Sci-Fi",2023-06-02,Sony Pictures Animation,95,N/A,A young artist navigates a kaleidoscope of infinite possibilities while clashing with a legion of those bound by a shared destiny.,🕷️🕸️🎨🌌⚡🛹🎒🌈💥🧤,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence, but when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders.","Animation, Action, Adventure, Science Fiction",2023,"Columbia Pictures, Sony Pictures Animation, Lord Miller, Pascal Pictures, Arad Productions, Marvel Entertainment",8.337,8659,United States of America,"English, Hindi, Italian, Spanish",https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,https://www.youtube.com/watch?v=yFrxzaBLDQM,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",140,100000000,690897910,26.4064
