Title,Genres,Release Date,Year,Studio,CriticScore,TMDBRating,Country,Language,Hint,Description,Emojis,PosterURL,TrailerURL,DiffEasy,DiffNormal,DiffHard,DiffImpossible
Daman,"Adventure, Drama",2022-11-04,2022.0,JP Motion Pictures,82.0,8.0,India,Oriya,A dedicated healer battles both a deadly parasite and deep-rooted superstitions in a remote jungle wasteland.,"Set in 2015, a young doctor is posted to a remote, malaria-affected tribal area in Odisha's Malkangiri district, where he must overcome personal frustration and local ignorance to implement a life-saving healthcare initiative.",🏥🦟🌲💊⛈️👨‍⚕️🙏🏽🚶‍♂️📽️🇮🇳,https://image.tmdb.org/t/p/w500/mUHa29ySdqlCfDlrA3gqPxJNd9M.jpg,https://www.youtube.com/watch?v=QO7QKT111q8,False,False,False,True
Pulp Fiction,"Thriller, Crime, Comedy",1994-10-14,1994.0,Miramax,92.0,8.5,United States of America,English,Intertwined fates collide in a stylish underworld where a mysterious briefcase dictates the rhythm of survival.,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",🍔🔫🕺💼💉🚬🥩🍩🕶️🎬,https://image.tmdb.org/t/p/w500/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,https://www.youtube.com/watch?v=tGpTpVyI_OQ,False,True,True,True
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,"Animation, Action, Fantasy",2021-09-18,2022.0,ufotable,85.0,7.4,Japan,Japanese,A shifting house echoes with the rhythm of rhythmic percussion as a frightened traveler and a wild beast hunt an immortal predator.,"Tanjiro journeys to a mysterious mansion where the rooms rotate and change with the beat of a drum, encountering new allies while facing a former member of the Twelve Kizuki.",👹⚔️🥁🏠🐗⚡️🩸🎋👺🌑,https://image.tmdb.org/t/p/w500/2yiDQCDj7hlq2SwLojV9xrFkCnr.jpg,,False,False,False,True
The Message,"Adventure, Drama, Action, History",1977-03-09,1976.0,Filmco International Productions,92.0,7.2,"Libyan Arab Jamahiriya, United Kingdom, Lebanon, Kuwait, Morocco",English,An unseen revolutionary spirit guides a desert-born movement that reshapes the world forever.,"An epic historical drama depicting the life and times of the prophet of Islam, told through the perspectives of those around him while respecting traditional visual restrictions.",🏜️🕋📜⚔️🕌🕊️🐪🔥📖🙏,https://image.tmdb.org/t/p/w500/qVCBMg4ZuLPnWhIWJHD9IP4nIuY.jpg,https://www.youtube.com/watch?v=gCyWycOx3nI,False,False,False,True
Tosun Paşa,Comedy,1976-02-01,1976.0,Arzu Film,85.0,8.0,Turkey,Turkish,Two rival clans clash over a fertile valley while a clumsy servant assumes a powerful mantle to tip the scales of nobility.,"In 19th-century Ottoman Alexandria, the Tellioğlu and Seferoğlu families fight for ownership of the Green Valley, leading to a hilarious deception involving a fake governor.",🏰🎩🏜️🐫🎭🤣🕌⚔️📜🔥,https://image.tmdb.org/t/p/w500/zqgB6E4yynfxkzzOurzC0VRObxf.jpg,,False,False,False,True
The Chaos Class Failed the Class,Comedy,1975-01-01,1975.0,Arzu Film,90.0,7.7,Turkey,Turkish,Mischievous perpetual students find their latest pranks and false identities clashing with the firm discipline of a legendary educator.,"The students of the legendary class repeat their year only to encounter more hilarious obstacles and the arrival of a new, strict school official.",🏫😂🍎👨‍🏫📚🎒🥊🚬👨‍🎓🎺,https://image.tmdb.org/t/p/w500/zMfsVXGxJy2xh0FwUWcZ1XXDZus.jpg,https://www.youtube.com/watch?v=zTzDY81qv-o,False,False,False,True
Fight Club,"Drama, Thriller",1999-10-15,1999.0,Fox 2000 Pictures,79.0,8.4,"Germany, United States of America",English,The cure for a mundane existence is found in the bruises shared between strangers and the collapse of credit history.,An insomniac office worker and a devil-may-care soap maker form an underground society that evolves into a chaotic revolution against modern society.,👊🧼🏢🏙️🧨🩸🧠🌑🧼🩹,https://image.tmdb.org/t/p/w500/jSziioSwPVrOy9Yow3XhWIBDjq1.jpg,https://www.youtube.com/watch?v=dfeUzm6KF4g,False,False,False,True
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action",2001-12-19,2001.0,New Line Cinema,91.0,8.4,"New Zealand, United States of America",English,A small soul carries a heavy burden across treacherous peaks to undo an ancient shadow.,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,💍🌋🏹🧝‍♂️🧙‍♂️⚔️🏔️🐎🌑📜,https://image.tmdb.org/t/p/w500/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,https://www.youtube.com/watch?v=_nZdmwHrcnw,True,True,True,True
Inception,"Action, Science Fiction, Adventure",2010-07-16,2010.0,Legendary Pictures,87.0,8.4,"United Kingdom, United States of America",English,"Deep within layered subconscious constructs, a spinning object challenges the permanence of the perceived world.",A professional thief who specializes in infiltrating dreams is offered a chance to clear his criminal record as payment for the complex task of planting an idea into a target's mind.,🌀🏙️💼🛌💭🕰️🔫✈️🏔️🔝,https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,https://www.youtube.com/watch?v=cdx31ak4KbQ,True,True,True,True
Forrest Gump,"Comedy, Drama, Romance",1994-07-06,1994.0,Paramount Pictures,71.0,8.5,United States of America,English,A simple man's feather-light journey drifts through the most significant moments of a turbulent century.,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",🏃‍♂️🍫🕊️👟🏓🍤🎖️🌧️🌳🇺🇸,https://image.tmdb.org/t/p/w500/Cw4hIUIAmSYfK9QfaUW5igp9La.jpg,https://www.youtube.com/watch?v=Mj9IA9tTfio,True,True,True,True
The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action",2002-12-18,2002.0,New Line Cinema,95.0,8.4,"New Zealand, United States of America",English,An ancient alliance is tested as a kingdom prepares for an impossible stand against a tide of darkness.,The second installment of the epic fantasy saga follows the divided fellowship as they face rising evil across a fractured landscape and prepare for a massive siege at a mountain fortress.,🏰⚔️🐎🏔️💍👣🌑🧙‍♂️🏹🛡️,https://image.tmdb.org/t/p/w500/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,https://www.youtube.com/watch?v=nuTU5XcZTLA,True,True,True,True
"The Good, the Bad and the Ugly",Western,1966-12-23,1966.0,United Artists,97.0,8.5,"United States of America, Italy, Spain, Germany",Italian,Three distinct moral paths converge in a brutal hunt for buried gold amidst a nation divided by war.,"During the American Civil War, three gunslingers with different moral compasses compete to find a hidden cache of stolen gold buried in a remote cemetery.",🏜️🌵🔫💰🐎☀️🚬🎼⚰️⚔️,https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,https://www.youtube.com/watch?v=WCnRSl24FPA,False,False,True,True
Jai Bhim,"Crime, Drama, Mystery, History",2021-11-02,2021.0,2D Entertainment,94.0,7.3,India,Tamil,An unyielding advocate challenges a corrupt hierarchy to uncover the fate of a man vanished by those sworn to protect.,A pregnant woman from a marginalized tribal community seeks justice with the help of a righteous lawyer after her husband is unlawfully detained and disappears from police custody.,⚖️✊🏾🚔⛓️🤰🏾🩸🏛️🙏🏽🗳️🔥,https://image.tmdb.org/t/p/w500/ehybiOtBUtrMkmtB39zQEtq1Jie.jpg,,False,False,False,True
Kill Bill: The Whole Bloody Affair,"Action, Crime",2011-03-27,2011.0,Miramax,85.0,8.1,United States of America,English,A betrayed survivor embarks on a relentless path of vengeance to cross every name off a lethal list.,"The complete, uncut saga of a former assassin's quest for revenge against her former employer and his deadly squad.",⚔️🩸🐍🏯🏍️👰👘⛩️🐉💥,https://image.tmdb.org/t/p/w500/nSOJfWJCdVFZQwXQA7RXn7FIIiY.jpg,https://www.youtube.com/watch?v=qbUz68h9BFo,False,False,False,True
777 Charlie,"Drama, Adventure, Comedy",2022-06-10,2022.0,Paramvah Studios,85.0,7.8,India,Kannada,"A solitary existence is transformed by an unexpected arrival, leading to an arduous trek toward eternal peace.","The film follows the life of a lonely factory worker who lives a monotonous life until a spirited Labrador Retriever enters his world, sparking a life-changing journey across the country.",🐕🏔️❄️🏢💔🫂🛣️🌅🐾😭,https://image.tmdb.org/t/p/w500/qArPmXH0aWsT3SEtYl8XrU2Oz48.jpg,https://www.youtube.com/watch?v=Z3r7f9zw-mo,False,False,False,True
Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,"Animation, Action, Fantasy",2020-10-17,2021.0,ufotable,88.0,7.8,Japan,Japanese,"Beneath the silver moon and tangled threads, a crimson strike tests the strength of family bonds.","A special compilation film featuring the battle against the spider-demon family on a sinister mountain, where young swordsmen reach their limits.",⚔️🕷️🕸️🌑🏮👺🩸🔥🦋🏔️,https://image.tmdb.org/t/p/w500/wq1UG5lPCKpOJgmgpKJszKvoMUe.jpg,,False,False,False,True
Manichithrathazhu,"Horror, Comedy, Mystery",1993-12-23,1993.0,Swargachitra,95.0,7.5,India,Malayalam,A locked room hides a fractured mind dancing to the rhythm of an ancient obsession.,"When a family moves into a haunted ancestral home, an investigative psychiatrist must uncover the dark history of a vengeful spirit and the truth behind a mysterious psychological transformation.",🗝️💃👁️🧠🎭🏚️📿🏺🕯️👣,https://image.tmdb.org/t/p/w500/5YccrqvJFTfAVyEZp08I3fLx15y.jpg,https://www.youtube.com/watch?v=5peTNRAj8ZA,False,False,False,True
Balkan Spy,"Drama, Comedy",1984-09-01,1984.0,Union film,88.0,7.7,Yugoslavia,Serbian,A former prisoner's descent into absolute paranoia turns a quiet suburb into a battlefield of imaginary espionage.,"An ordinary man becomes obsessively convinced that his new tenant is a foreign agent, leading him to launch an amateur but increasingly dangerous surveillance operation fueled by past trauma.",🕵️‍♂️🏠💊🇷🇸📞📸🔦🚔🤯🚬,https://image.tmdb.org/t/p/w500/2YxqcDSawVkJ99jU0Ji1gJAKJan.jpg,https://www.youtube.com/watch?v=AvaoNm6NVkY,False,False,False,True
Maratonci trče počasni krug,"Comedy, Drama",1982-03-12,1982.0,Centar film,94.0,7.6,Yugoslavia,Serbian,Six generations of undertakers find their grim legacy threatened when the youngest heir prefers the flickering light of cinema over the cold reality of the casket.,"In 1930s Yugoslavia, the Topalović family of funeral directors operates a monopoly on death until internal greed and a rebellious youth ignite a chaotic firestorm of betrayal.",⚰️👴💨🎭🚗💰🖤🔥🎬🏚️,https://image.tmdb.org/t/p/w500/areHIloTHM5Es8hD4DgQgsjRhr9.jpg,,False,False,False,True
Süt Kardeşler,"Comedy, Family",1976-02-01,1976.0,Arzu Film,92.0,8.0,Turkey,Turkish,A misunderstanding over shared maternal bonds leads a group into a mansion haunted by a legend wrapped in sheets.,A legendary Turkish comedy set in the late Ottoman era where a case of mistaken identity involving foster siblings leads to a series of chaotic events in a supposedly haunted mansion.,🍼🥛🏰👻👵👳‍♂️🎭🤣😱🕯️,https://image.tmdb.org/t/p/w500/vGW4S5CBTiIdkFE0nX6wljMDLjo.jpg,,False,False,False,True
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure, Science Fiction",2023-06-02,2023.0,Columbia Pictures,95.0,8.3,United States of America,English,A young artist navigates a kaleidoscope of infinite possibilities while clashing with a legion of those bound by a shared destiny.,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence, but when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders.",🕷️🕸️🎨🌌⚡🛹🎒🌈💥🧤,https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,https://www.youtube.com/watch?v=yFrxzaBLDQM,True,True,True,True
Interstellar,"Adventure, Drama, Science Fiction",2014-11-07,2014.0,Legendary Pictures,73.0,8.5,"United Kingdom, United States of America",English,Love transcends the dimensions of time and space to guide a desperate exodus across the stars.,"In a future where Earth is becoming uninhabitable, a team of explorers travels through a wormhole in space in an attempt to ensure humanity's survival.",🚀🌌⏳🕰️🌽👨‍👧‍👧🖤🌊🛰️🌑,https://image.tmdb.org/t/p/w500/yQvGrMoipbRoddT0ZR8tPoR7NfX.jpg,https://www.youtube.com/watch?v=LY19rHKAaAg,True,True,True,True
Goodfellas,"Drama, Crime",1990-09-19,1990.0,Winkler Films,96.0,8.5,United States of America,Italian,A lifelong dream of status dissolves into a paranoid fever dream fueled by betrayal and the smell of simmering sauce.,"The rise and fall of a young man within the Italian-American mob, chronicling three decades of life in the mafia.",🍝🔫💰🚬🇮🇹🚁💍🔪🏙️🚔,https://image.tmdb.org/t/p/w500/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,https://www.youtube.com/watch?v=PTBRNXGQR9Q,False,False,False,True
The Matrix,"Action, Science Fiction",1999-03-31,1999.0,Village Roadshow Pictures,83.0,8.2,United States of America,English,Choosing between a comfortable hallucination and a harsh reality reveals a world governed by hidden algorithms.,A computer programmer discovers that his entire life is a simulation and joins a rebel group to fight their mechanical jailers.,🕶️💊💻🏢🔫🏃🕴️🔌🟢🖥️,https://image.tmdb.org/t/p/w500/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg,https://www.youtube.com/watch?v=FVI84Dfx2-I,True,True,True,True
One Flew Over the Cuckoo's Nest,Drama,1975-11-19,1975.0,Fantasy Films,93.0,8.4,United States of America,English,A rebellious spirit challenges the sterile order of a locked facility where the remedy is often worse than the ailment.,"A criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical head nurse.",🏥💊🧠🃏🚬👮‍♀️🥛🛶🧊🕊️,https://image.tmdb.org/t/p/w500/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,https://www.youtube.com/watch?v=F4da9uRIg8c,False,False,True,True
Star Wars: Episode V - The Empire Strikes Back,"Adventure, Action, Science Fiction",1980-05-21,1980.0,Lucasfilm Ltd.,95.0,8.4,United States of America,English,A chilling revelation awaits a student of the mystic arts as the forces of darkness tighten their grip on the galaxy.,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.",🌌🚀❄️⚔️🤖🛸👽🦾☁️👹,https://image.tmdb.org/t/p/w500/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,https://www.youtube.com/watch?v=e0QkbuRaEDc,True,True,True,True
Toma,"Drama, Music, History",2021-09-16,2021.0,Cobra Film Department,91.0,6.9,Serbia,Serbian,"A soulful bohemian sings through the smoke of a fading era, finding his greatest melodies in the depths of heartbreak.","A biographical portrait of one of the most famous singers of the Yugoslav era, tracing his rise to fame and his melancholic personal life.",🎤🎻🥃💔🚬🥀🎶🇷🇸😢🥂,https://image.tmdb.org/t/p/w500/w80MOoF0ec5jLXOFpqWV77pzpxO.jpg,https://www.youtube.com/watch?v=yzCRS7X-I2c,False,False,False,True
Rocketry: The Nambi Effect,"Drama, History",2022-07-01,2022.0,Tricolor Films,82.0,7.7,"Georgia, India",Hindi,A visionary's cosmic ambitions are grounded by a web of deceit and a nation's betrayal.,"An account of the life of ISRO scientist Nambi Narayanan, who was framed for espionage and arrested in 1994.",🚀🇮🇳🔬👨‍🔬🛰️⚖️⛓️👴🏽📽️🌟,https://image.tmdb.org/t/p/w500/o7A1agEoXvwyyOmIbHnUhfnC34j.jpg,https://www.youtube.com/watch?v=E3s-w-G4R_w,False,False,False,True
The Legend of Maula Jatt,"Drama, Fantasy, Action",2022-10-13,2022.0,Crew Motion Pictures,93.0,7.9,Pakistan,Punjabi,An ancient rivalry resurfaces when a forgotten gladiator returns to dismantle a cruel dynasty of violence.,A fierce prizefighter seeks redemption and justice against the psychopathic heir of a powerful clan in this high-octane reimagining of a Punjabi classic.,⚔️🩸🧔🏾‍♂️🐎⛓️🏛️🔥🤜🏽🏔️🦁,https://image.tmdb.org/t/p/w500/njmYtTRQ9hY35T9mmwrP7NnsNS6.jpg,https://www.youtube.com/watch?v=pEWqOAcYgpQ,False,False,False,True
Soorarai Pottru,"Drama, Action",2020-11-12,2020.0,2D Entertainment,92.0,7.8,India,Tamil,A dreamer's crusade to democratize the sky forces the wings of change upon a rigid social order.,"Inspired by real-life events, the story follows a young man from a remote village who dreams of starting a low-cost airline to make flying accessible for the common people despite facing immense corporate and political opposition.",✈️👨💼📈💸🔥🌥️🎖️🎟️🏘️,https://image.tmdb.org/t/p/w500/5uimlxPCgAei8JfQUDFEUQLoyyh.jpg,,False,False,False,True
Who's Singin' Over There?,"Drama, Comedy, Adventure",1980-10-23,1980.0,Centar film,92.0,7.6,Yugoslavia,Serbian,A rickety bus carries a microcosm of society toward a city that will soon disappear into the smoke of war.,"On the eve of the 1941 invasion of Yugoslavia, a motley crew of passengers journeys on a dilapidated bus through the countryside towards Belgrade.",🚌🎶👴🍗🛣️💨🍖🇷🇸📉🪗,https://image.tmdb.org/t/p/w500/1r4buAPUyqWwhdKxki1fyBeehsw.jpg,,False,False,False,True
Pariyerum Perumal,"Romance, Drama",2018-09-28,2018.0,Neelam Productions,95.0,8.2,India,Tamil,A loyal companion becomes a sacrifice to ancient hierarchies while a scholar fights for a seat at an unwelcoming table.,An idealistic youth from a marginalized community navigates the harsh realities of caste-based discrimination and systemic violence while pursuing a law degree.,🐕🎓⚖️🌾💔🧱🔥🩸✊🐘,https://image.tmdb.org/t/p/w500/78YoIO3gzkZPC1jotfDmolNDmgT.jpg,https://www.youtube.com/watch?v=GMNsUxJe4R4,False,False,False,True
"Saban, Son of Saban",Comedy,1977-12-01,1977.0,Arzu Film,88.0,7.8,Turkey,Turkish,Incompetent recruits find themselves chasing a stolen heirloom through a series of slapstick mishaps.,A classic of Turkish cinema where two dim-witted friends fail their way through the military only to find themselves entangled in a high-society diamond theft mystery.,🤣😂💎🕵👮🍗🔫📜🔍🥗,https://image.tmdb.org/t/p/w500/iPYrBGUaNTsrMjxcPoNvo4quEeL.jpg,,False,False,False,True
Peranbu,"Drama, Family",2019-02-01,2019.0,Shree Raaja Lakshmi Films,92.0,7.3,India,Tamil,A solitary soul navigates the shifting tides of nature and human desire while shielding a fragile life from a world that refuses to understand.,"A compassionate father struggles to raise his daughter, who suffers from cerebral palsy, as they face societal rejection and the complex emotional transitions of her coming of age.",👨‍👧🌊🌲🌦️🧘‍♂️💔🫂🐚🌅🦋,https://image.tmdb.org/t/p/w500/uogOObqRReG91niJ2X7WNMpRkH8.jpg,,False,False,False,True
Kibar Feyzo,Comedy,1978-11-01,1978.0,Arzu Film,87.0,7.9,Turkey,Turkish,A simple man returns from the city to challenge a feudal lord's greed with the power of newfound urban wisdom.,A sharp political satire focusing on a villager who must navigate the exploitative traditions of his rural home to marry his love.,🤵🚜💰🧱👞👰📜🚬🐄👮,https://image.tmdb.org/t/p/w500/bg5h5KhLD6DI2WiYeG3qugMu6D.jpg,https://www.youtube.com/watch?v=pdO2yIE48so,False,False,False,True
Zügürt Aga,"Drama, Comedy",1985-12-01,1985.0,Mine Film,88.0,8.2,Turkey,Turkish,"When the earth no longer yields to the master, the crown is swapped for a vendor's tray in a wilderness of concrete.","A traditional feudal landlord is forced to sell his village and migrate to the big city, where he struggles to adapt to modern life as his status and wealth evaporate.",👨🏻‍🌾🌾📉🏙️🥙💰🏚️⚖️👴🏼🇹🇷,https://image.tmdb.org/t/p/w500/k91XbIdnDvzvg4RpwPh7mUz3VC7.jpg,,False,False,False,True
Neşeli Günler,"Comedy, Family",1978-04-01,1978.0,Arzu Film,88.0,8.2,Turkey,Turkish,A bitter dispute over a single salad ingredient splits a household into two rival camps for over a decade.,"After a heated argument over whether lemon or vinegar makes the best pickles, a husband and wife separate and divide their six children between them, leading to a long-awaited reunion orchestrated by their now-grown offspring.",🍋🥒👨‍👩‍👧‍👦🥗🏠💔❤️🚌🥘🍴,https://image.tmdb.org/t/p/w500/tNpqrXxHfFptO1N7lBZredY97AG.jpg,,False,False,False,True
The Chaos Class Is Waking Up,Comedy,1976-11-20,1976.0,Arzu Film,88.0,7.8,Turkey,Turkish,A legendary group of academic slackers meets their match when a disciplined newcomer disrupts their perpetual cycle of pranks and slumber.,"In this classic sequel, the notoriously lazy students of a private high school continue their hilarious misadventures while dealing with a strict new classmate and their beloved, stern headmaster.",🏫🎓🤣🎒💤🥖🍗👨‍🏫🚌🎸,https://image.tmdb.org/t/p/w500/s6ysusBx8oBrbMXQEfD3leMmMHZ.jpg,,False,False,False,True
Oppenheimer,"Drama, History",2023-07-21,2023.0,Syncopy,93.0,8.0,"United Kingdom, United States of America",Dutch,"A brilliant mind orchestrates the birth of a fire that could consume the world, only to find himself scorched by its political afterglow.",A cinematic exploration of the life and moral dilemmas of the theoretical physicist who spearheaded the development of the first nuclear weapons during the Manhattan Project.,💣🔥⏳🎩📽️⚖️⛈️☢️🇺🇸🔬,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,https://www.youtube.com/watch?v=qiuSBWVdgLI,True,True,True,True
Se7en,"Crime, Mystery, Thriller",1995-09-22,1995.0,New Line Cinema,83.0,8.4,United States of America,English,A rainy city serves as the backdrop for a meticulous artist who treats mortal transgressions as his ultimate masterpiece.,A retiring police detective and his newly transferred partner hunt a serial killer who justifies his crimes as absolution for the world's ignorance of the seven deadly sins.,🌧️📦🏙️🕵️‍♂️🕯️📖✝️🩸⚖️💀,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,https://www.youtube.com/watch?v=KPOuJGkpblk,True,True,True,True
The Silence of the Lambs,"Crime, Thriller, Drama",1991-02-14,1991.0,Orion Pictures,95.0,8.3,United States of America,English,"To catch a monster, one must share a psychological feast with a more sophisticated predator behind glass.","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",🦋🍷🍽️👮‍♀️🕵️‍♂️🗝️🌑🕯️🩸🧠,https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,https://www.youtube.com/watch?v=6iB21hsprAQ,True,True,True,True
