Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,YouTube Embed Link,Verification Status
Sansho the Bailiff,"Drama, History",1954-03-31,Daiei Film,100,N/A,"A lost token of mercy guides broken spirits through a landscape of suffering toward a final, bittersweet reunion by the shore.",🏮🌊⛓️🍂😢⚖️🛶🎍📿💔,"In medieval Japan, a compassionate governor is exiled, leaving his wife and children to be captured by human traffickers and sold into a brutal labor camp.",https://www.youtube.com/embed/1TSo4GBi1xI,verified
The Pinchcliffe Grand Prix,"Animation, Comedy, Family, Adventure",1975-08-28,Caprino Film,100,N/A,"High atop a peak, a modest inventor and his feathered friends construct a copper-bellied beast to reclaim stolen glory in a high-speed duel.",🏎️🔧⛰️🏁🛠️🇳🇴💨🏆🤖🦆,"On the mountain of Pinchcliffe, a bicycle repairman and his two animal assistants build a super-powered car to compete in a high-stakes race against a treacherous former apprentice.",https://www.youtube.com/embed/q5MF6OocKPg,verified
Toy Story,"Animation, Adventure, Comedy, Family",1995-11-22,Pixar Animation Studios,100,N/A,The arrival of a modern rival forces a local leader to embark on a perilous journey across a concrete jungle to reclaim his place in a child's heart.,🤠🚀🧸🪁🦖🐷🐶🚲🏘️🤝,A cowboy doll is profoundly threatened and jealous when a new spaceman figure renders him second-best in a boy's bedroom.,https://www.youtube.com/embed/v-PjgYDrg70,verified
Singin' in the Rain,"Comedy, Musical, Romance",1952-04-11,Metro-Goldwyn-Mayer,100,N/A,A joyful splash accompanies the chaotic dawn of a new audible era in Tinseltown.,☂️🌧️💃🕺🎶🎬☀️📽️👗🎙️,A silent film star falls for a chorus girl just as he and his delusional leading lady struggle to transition to talking pictures in 1920s Hollywood.,https://www.youtube.com/embed/5_EVHeNEIJY,verified
Ikiru,Drama,1952-10-09,Toho,100,N/A,A paper-pusher finds the courage to build something lasting only after his days are numbered.,👴💼⏳🏙️🌸🥃🎞️💔🏔️🕯️,A veteran bureaucrat in post-war Japan searches for meaning in his life after learning he has terminal stomach cancer.,https://www.youtube.com/embed/geKhyNerWM8,verified
Red Beard,Drama,1965-04-03,Toho,100,N/A,A proud young practitioner learns that the truest medicine lies in the soul of the impoverished.,🏥🧔‍♂️⛩️🇯🇵🍶🩹⛈️🧘📜🖤,"An aspiring young doctor is disappointed to be assigned to a rural clinic, but under the guidance of a stern, seasoned mentor, he discovers the profound impact of empathy and dedication to the poor.",https://www.youtube.com/embed/-i-I72-Fsqw,verified
Ordet,"Drama, Fantasy",1955-09-02,Palladium,100,N/A,"In a landscape of rigid dogma and grieving hearts, a single spoken command challenges the very boundary between life and death.",⛪️🌾🕯️🙏🌫️🐄✨🌧️⚰️🕊️,A multi-generational family on a Danish farm grapples with conflicting religious perspectives and a devastating loss that culminates in a profound miracle.,https://www.youtube.com/embed/-uQEPjRog84,verified
Samurai Rebellion,"Drama, Action, History",1967-05-27,Toho,100,N/A,A veteran blade-master shatters a lifetime of obedience to defend a forbidden love against a ruler's cruel decree.,🗡️🏯📜👺⚖️🛡️🩸💔🏔️⛩️,An aging swordsman and his son risk their lives and positions by refusing to obey an unjust order from their daimyo regarding the son's wife.,https://www.youtube.com/embed/GTkERWlcJB0,verified
Andhadhun,"Crime, Thriller, Comedy, Music",2018-10-05,Viacom18 Motion Pictures,100,N/A,A witness who claims to see nothing finds himself trapped in a symphony of lethal deceptions and culinary betrayals.,🎹🕶️🩸🐇🐱🍲💉🏢🚔🎭,"A talented piano player who pretends to be visually impaired becomes an accidental witness to a murder, spiraling into a chaotic web of lies and survival.",https://www.youtube.com/embed/2iVYI99VGaw,verified
The Treasure of the Sierra Madre,"Adventure, Drama, Western",1948-01-24,Warner Bros.,100,N/A,Gold's glitter turns brotherhood into a fatal dance of suspicion beneath the burning desert sun.,🏜️⛏️💰🏜️🐎🌵🏜️🔫🔥💀,"Two down-on-their-luck Americans in Mexico join an old prospector to search for gold in the Sierra Madre Mountains, but greed soon consumes them.",https://www.youtube.com/embed/XZ8Q9mOYJgE,verified
The Kid,"Comedy, Drama, Silent",1921-02-06,First National Pictures,100,N/A,"A wandering soul discovers an abandoned life in an alleyway, forging an unbreakable bond amidst the struggles of the streets.",👶🎩👞💼🏙️🏢🎭😭💕🏠,"A tramp finds an abandoned infant and raises him as his own, but their bond is tested when the child's past catches up to them.",https://www.youtube.com/embed/UBX2Yy2dqg4,verified
Close-Up,"Documentary, Drama, Crime",1990-02-01,Kanoon,100,N/A,Identity and artifice collide when a cinephile inhabits another's life to find the respect he lacks in his own.,🎥⚖️🇮🇷🎭🕵️‍♂️🎞️🏠🤫🤝🧐,"The true story of Hossain Sabzian, a man who impersonated director Mohsen Makhmalbaf, told through a blend of documentary and reenactment.",https://www.youtube.com/embed/E0Z7lRETC3c,verified
Ugetsu,"Drama, Fantasy, War",1953-03-26,Daiei Film,100,N/A,A craftsman and a laborer abandon their families for hollow pursuits only to find that the spirits of the past hold the steepest price for greed.,🏮🛶🌫️🍶👘👻🏯🗡️🌾💔,"In war-torn 16th-century Japan, two peasants pursue wealth and military glory, encountering supernatural consequences that haunt their return to reality.",https://www.youtube.com/embed/C8Z3DYtUP0E,verified
A Brighter Summer Day,"Crime, Drama, Romance",1991-07-27,Yang & His Gang Filmmakers,100,N/A,A flicker of light in a darkened alley leads to a tragic end for youth caught between political shadows and personal longing.,🚲🇹🇼🔪🌧️📻🎸🏫💔🏙️🌑,"Based on a real-life incident, this sprawling masterpiece explores the tensions of 1960s Taiwan through the lives of competing youth gangs.",https://www.youtube.com/embed/n4pHZ_IrKDk,verified
It's Such a Beautiful Day,"Animation, Drama, Comedy, Sci-Fi",2012-08-24,Bitter Films,100,N/A,A fragile mind navigates the mundane and the infinite as reality begins to splinter and fold.,🧠☁️🚶‍♂️🍴🏥🌧️📺🌈💀✨,Bill struggles with his failing memory and surreal visions while trying to find meaning in his increasingly fragmented existence.,https://www.youtube.com/embed/ecn9YiqqHyw,verified
Late Spring,Drama,1949-09-13,Shochiku,100,N/A,The blooming season brings a quiet sacrifice as a devoted caretaker is urged to leave the nest she never wished to abandon.,🌸🍵👴🏠🚲🛤️🍃🚶‍♀️🏮🍶,"A widowed father and his daughter live in harmony, but societal pressures and the passage of time force a heartbreaking decision regarding her marriage and their shared domestic life.",https://www.youtube.com/embed/_4Ul10BSzRw,verified
A Man Escaped,"Drama, Thriller, War",1956-05-15,Gaumont,100,N/A,A patient architect of liberation crafts his salvation from the very stones and silence of his confinement.,🧱🪠🗝️🧗‍♂️🕯️🕰️⛓️🤫🇫🇷🚪,"During World War II, a captured French Resistance fighter meticulously plans and executes a daring breakout from a high-security Nazi prison.",https://www.youtube.com/embed/o6nHFpKK6Lc,verified
I Am Cuba,"Drama, History",1964-10-26,Mosfilm,100,N/A,A soaring camera witnesses the transformation of an island from a playground for the wealthy to a cradle of revolutionary fire.,🇨🇺🎥🌊🔥🌴🚬🎺✊🌫️🕊️,A visually revolutionary anthology film consisting of four vignettes that explore the lives of the Cuban people during the transition from the Batista regime to the Socialist revolution.,https://www.youtube.com/embed/BwEabZrGFfI,verified
Aparajito,Drama,1956-10-11,Government of West Bengal,100,N/A,A son's academic pursuit draws him away from the sacred river and a mother's lonely heart.,🚂🎓📽️🇮🇳🤱💔🏙️📚🕯️🚆,The second installment of the Apu Trilogy follows a young man as he leaves his rural roots and grieving mother for an education in the bustling city.,https://www.youtube.com/embed/UQznTZBNQ7E,verified
Il Sorpasso,"Comedy, Drama",1962-12-05,Fair Film,100,N/A,A reckless chance encounter on a quiet holiday leads a timid student into a whirlwind of Mediterranean excess and sudden finality.,🏎️🇮🇹🕶️☀️🌊🛣️🍾🚬🎺🏁,"During a quiet summer holiday in Rome, a brash extrovert convinces a studious law student to join him on a spontaneous, high-speed road trip along the Italian coast.",https://www.youtube.com/embed/X5Tjj5B7Kbc,verified
I Am a Fugitive from a Chain Gang,"Crime, Drama, Film-Noir",1932-11-19,Warner Bros.,100,N/A,A veteran seeks a peaceful life but finds himself trapped in a cycle of injustice where his only escape is to vanish into the shadows forever.,⛓️🔨🏃‍♂️💨🔦🐕👮‍♂️⛓️🔚🌑,"An innocent World War I veteran is wrongly convicted of a crime and sentenced to a brutal southern chain gang, leading to a desperate struggle for freedom and a life on the run.",https://www.youtube.com/embed/wlg1oh7Wo3U,verified
The Terminator,"Action, Sci-Fi",1984-10-26,Orion Pictures,100,N/A,A relentless visitor from a dark tomorrow arrives to erase a future savior before he can even exist.,🤖🔫⚡🕶️🏍️🔥🕰️🚨👢💀,A cyborg assassin is sent from 2029 to 1984 to kill a waitress whose unborn son will one day save mankind from extinction.,https://www.youtube.com/embed/nGrW-OR2uDk,verified
Before Sunrise,"Romance, Drama",1995-01-27,Castle Rock Entertainment,100,N/A,"Two paths cross on a locomotive, leading to a finite odyssey of dialogue through a city that sleeps while they awaken.",🚆🇦🇹🗣️🌙🕰️☕🌉🚶‍♂️🤝✨,"A young man and woman meet on a train in Europe and spend one evening together in Vienna, exploring the city and getting to know each other before their paths must diverge at dawn.",https://www.youtube.com/embed/6MUcuqbGTxc,verified
Stalker,"Sci-Fi, Drama, Mystery",1979-05-25,Mosfilm,100,N/A,"Beyond the cordoned threshold of a decaying world, a guide leads seekers to a room where their deepest truths manifest.",☣️🌫️🚶‍♂️🛤️🚪🌑💧🕯️🧱🌀,"In a post-apocalyptic future, a guide leads two men through a mysterious area known as the Zone to find a room that grants a person's innermost desires.",https://www.youtube.com/embed/YuOnfQd-aTw,verified
Cool Hand Luke,"Crime, Drama",1967-11-01,Warner Bros.,100,N/A,A silver-tongued nonconformist challenges the heavy hand of authority with a stubborn spirit that refuses to be broken.,🥚⛓️👮‍♂️🔨☀️🕶️🥊💧🚬🚶,A rebellious inmate at a Southern prison camp becomes a legend among his fellow prisoners by constantly defying the sadistic warden and guards.,https://www.youtube.com/embed/ofxtDrRVQY4,verified
Tokyo Story,Drama,1953-11-03,Shochiku,100,N/A,Gentle disappointment blooms when the anchors of the past meet the frantic currents of a changing world.,👵👴🚄🌆🍵💔🗼🌸🕰️😢,"An elderly couple travels to the capital to visit their busy grown children, discovering that they have become secondary to the demands of modern urban life.",https://www.youtube.com/embed/5zEKw4VQIeY,verified
The Grapes of Wrath,Drama,1940-03-15,20th Century Fox,100,N/A,A displaced family journeys across a desolate landscape in search of a promised land that only offers more struggle.,🚜🌾🏜️🚚🏚️🌧️🥖👨‍👩‍👧‍👦💔🌅,"During the Great Depression, a family of sharecroppers is driven from their Oklahoma home and sets out on a grueling journey toward the hope of work in the West.",https://www.youtube.com/embed/fOuAZLA_jWQ,verified
Three Colors: Red,"Drama, Mystery, Romance",1994-05-27,MK2 Productions,100,N/A,A chance collision on a rainy road weaves an invisible thread between a compassionate soul and an embittered observer of private lives.,🔴🐕⚖️📡📻🧶🍂⛈️💔🤝,The final installment of the Three Colors trilogy explores the theme of fraternity through the meeting of a young model and a reclusive retired judge who spends his days eavesdropping on his neighbors' phone conversations.,https://www.youtube.com/embed/RPLpbDFQZpg,verified
Fanny and Alexander,"Drama, Fantasy",1982-12-17,Cinematograph AB,100,N/A,A festive family chronicle dissolves into the chilling shadows of a stern and sanctimonious cell.,🕯️🎭🏠❄️🍷🎻👼👻⛪️🇸🇪,"In early 20th-century Sweden, two children find their vibrant lives upended when their widowed mother marries a rigid bishop.",https://www.youtube.com/embed/tDlA_QZmqkM,verified
The Gold Rush,"Comedy, Adventure, Drama",1925-06-26,United Artists,100,N/A,A solitary wanderer dances with dinner rolls while the icy wilderness tests the limits of greed and survival.,🏔️❄️👞🍴💰🏚️🐻🕺🎩🐔,"A lone prospector ventures into the Alaskan wilderness during the Klondike Gold Rush, facing starvation, harsh weather, and eccentric rivals while searching for love and fortune.",https://www.youtube.com/embed/kDlEvaKBkhU,verified
Where Is the Friend's House?,Drama,1987-02-01,Kanoon,100,N/A,A simple mistake sends a determined child on a recursive journey across hills to save a peer from an unfair fate.,📓👦🏃‍♂️🏔️🏘️🏡🤝⏳📖🌅,An eight-year-old boy mistakenly takes his classmate's notebook home and must travel to a neighboring village to return it before the next school day.,https://www.youtube.com/embed/run-u_2zAdA,verified
A Special Day,Drama,1977-08-12,Compagnia Cinematografica Champion,100,N/A,Two outcasts find a fleeting connection in the silence of an apartment complex while a parade of tyranny roars through the streets outside.,🇮🇹🏢📻🤫🏳️‍🌈💔🤐🚪☕️🎭,"During a day of fascist celebration in 1930s Rome, a lonely housewife and a persecuted radio broadcaster discover a transformative intimacy within their secluded domestic space.",https://www.youtube.com/embed/KloWrqcHAF0,verified
Pink,"Legal, Drama, Thriller",2016-09-16,Rising Sun Films,100,N/A,"When a night out turns into a legal nightmare, an aging eagle emerges from retirement to prove that a simple refusal requires no further explanation.",⚖️🚺🏙️🏛️🚨🤐✊🚫🗣️⚖️,A retired lawyer defends three young women against a group of influential men in a case that challenges deep-seated societal prejudices and the concept of consent.,https://www.youtube.com/embed/AL2TShb6fFs,verified
The Heiress,"Drama, Romance",1949-10-06,Paramount Pictures,100,N/A,A fortune becomes a cage where affection is weighed against gold and a cold heart finds its strength in isolation.,💰🏡💔🧤🕰️🎭👗💍🚬🏛️,"A plain young woman falls in love with a handsome fortune hunter, much to the chagrin of her emotionally abusive, wealthy father.",https://www.youtube.com/embed/QQNM6jtRqLg,verified
A Short Film About Love,"Drama, Romance",1988-10-21,Tor Film Studio,100,N/A,A silent observer discovers that the distance of a lens cannot protect the heart from the reality of a shared touch.,🔭🏢💔👁️❄️🏙️🚬💌🎭🤐,A young postal clerk's obsessive surveillance of an older woman in an adjacent housing project evolves into a bittersweet exploration of loneliness and longing.,https://www.youtube.com/embed/lNJild87twQ,verified
Farha,"Drama, History, War",2021-09-14,Netflix,100,N/A,"Through a crack in the cellar door, a witness watches her world disappear into the shadows of history.",🇵🇸🏠👁️🚪⏳💣🕯️🥀👧📜,"In 1948 Palestine, a young girl's dreams of education are shattered when she is hidden in a small storage room to survive a violent transition, witnessing the unthinkable through the cracks.",https://www.youtube.com/embed/WJtN7UCsbeM,verified
The Last Picture Show,"Drama, Romance",1971-10-22,Columbia Pictures,100,N/A,"In a dying town where the wind never stops, the flicker of a projector fades along with the innocence of youth.",📽️🌾🏚️🌫️🎞️💔🌬️🚜🤠🌑,"A poignant drama exploring the social and sexual coming-of-age of teenagers in a small, stagnant Texas town during the early 1950s.",https://www.youtube.com/embed/5LoWGwN4ToE,verified
The Shop Around the Corner,"Comedy, Romance, Drama",1940-01-12,Metro-Goldwyn-Mayer,100,N/A,"Two bickering coworkers find solace in anonymous letters, unaware they are pouring their hearts out to their workplace rival.",💌🎁❄️💼✍️🧥🕯️🎭🕰️🇭🇺,"Two employees at a leathergoods shop in Budapest can barely stand each other, but unwittingly fall in love through an anonymous correspondence.",https://www.youtube.com/embed/xr3nsHRKZJA,verified
The Exterminating Angel,"Drama, Fantasy, Mystery",1962-12-15,Producciones Alatriste,100,N/A,"An invisible threshold prevents a group of socialites from departing a dinner party, forcing their refined masks to crumble into primal chaos.",🥂🎭🚪⏳🐑🕯️🤯🥘🌀🥀,"In this surrealist masterpiece, guests at an upscale dinner party find themselves psychologically trapped in a room they are physically able to leave, leading to a slow descent into madness and animalistic behavior.",https://www.youtube.com/embed/ysYG7qaz29c,verified
The Cabinet of Dr. Caligari,"Horror, Mystery, Fantasy",1920-02-26,Decla-Bioscop,100,N/A,Jagged shadows and distorted dreams reveal a waking nightmare controlled by a traveling showman.,🎪😴🔪🌫️📐🌀🎞️🕯️🎭👁️,"A landmark of German Expressionism, this silent masterpiece uses sharp, distorted visuals to tell the story of a traveling hypnotist who uses a somnambulist to commit murders.",https://www.youtube.com/embed/IAtpxqajFak,verified
The Maltese Falcon,"Film-Noir, Mystery, Crime",1941-10-18,Warner Bros.,100,N/A,A cynical investigator navigates a web of lethal deceit to find a legendary golden bird that dreams are made of.,🕵️‍♂️🐦💎🚬🥃🏢🎭🌑⚖️🔫,"A private eye takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",https://www.youtube.com/embed/3a9YU1SVbSE,verified
Anatomy of a Murder,"Crime, Drama, Mystery",1959-07-01,Columbia Pictures,100,N/A,A rural legal battle hinges on the thin line between a justifiable impulse and a calculated crime.,⚖️🕵️‍♂️🏛️🔫🎷📜🎞️🥃🚬🧐,A small-town defense attorney takes on a sensational case involving an army lieutenant who murdered the man who allegedly assaulted his wife.,https://www.youtube.com/embed/LwX8NiXv9Hw,verified
Mirror,"Drama, Biography",1975-03-07,Mosfilm,100,N/A,Scattered reflections of a fading consciousness drift through burning barns and leaking roofs to find the mother who remains forever young.,🪞🎞️🌧️🌲🏚️🕰️🕊️🌾🌫️🔥,"A dying poet's fragmented memories of childhood, family, and the wartime Soviet Union blend together in a non-linear, dream-like meditation on history and the soul.",https://www.youtube.com/embed/S2U9TXmYJ94,verified
Le Samouraï,"Crime, Drama, Thriller",1967-10-25,Compagnie Industrielle et Commerciale Cinématographique,100,N/A,"A silent shadow in a trench coat navigates a cold city, bound by a code that leads to an inevitable, tragic performance.",🕵️‍♂️🧥🧤🔫🐦🏙️🇫🇷🧊🚬🤫,"A professional hitman who lives by a strict code of conduct finds himself caught between the police and his employers after a job goes wrong in a cold, blue-tinted Paris.",https://www.youtube.com/embed/GuhPR3xeJm0,verified
Dilwale Dulhania Le Jayenge,"Romance, Drama",1995-10-20,Yash Raj Films,100,N/A,A missed train leads to a cross-continental quest to win the heart of a patriarch.,🚄🎒🏔️💃🕺💍🌾🚂💔🇮🇳,"A young man and woman fall in love during a vacation in Europe, but the woman's conservative father has already promised her hand in marriage to someone else in India.",https://www.youtube.com/embed/cmax1C1p660,verified
"Quo Vadis, Aida?","War, Drama, History",2020-09-03,Deblokada,100,N/A,A desperate race against an impending tide of shadow within a sanctuary that offers no true shelter.,🇧🇦🪖😰⏳📉🕊️💔🛑📢🏢,A United Nations translator struggles to save her family as a conflict-torn town is overrun by encroaching forces during a humanitarian crisis.,https://www.youtube.com/embed/ErLD8P4VUjY,verified
Day for Night,"Comedy, Drama, Romance",1973-05-24,Les Films du Carrosse,100,N/A,A chaotic symphony of artifice and reality unfolds within the flickering light of a studio set.,🎬📽️🇫🇷🎞️🎭🕯️🥐☕🌹🍷,"The film follows the production of a melodrama titled Meet Pamela, capturing the behind-the-scenes drama, technical challenges, and personal crises of the cast and crew.",https://www.youtube.com/embed/GmSpeM5Hj2A,verified
Ivan's Childhood,"Drama, War",1962-04-06,Mosfilm,100,N/A,A fragmented soul navigates a landscape of mirrored waters and skeletal woods to gather secrets in a world that stole his innocence.,🪖🌫️🛶🧒📜🏚️🔫🕊️🥀🌒,"During World War II, a young orphan works as a scout for the Soviet Army, moving through a grim landscape while his mind retreats into surreal, poetic memories of his lost youth.",https://www.youtube.com/embed/pBj_yleyrLE,verified
Kind Hearts and Coronets,"Comedy, Crime, Drama",1949-06-20,Ealing Studios,100,N/A,"A discarded branch of a family tree trims its own lineage with polite, calculated precision.",🎩🎭🍷🗡️🏰⚰️🫖💰👔🧥,A vengeful social outcast meticulously eliminates the eight heirs standing between him and an aristocratic title.,https://www.youtube.com/embed/fVli0y9bQoA,verified
The Cremator,"Drama, Horror, Comedy",1969-03-14,Filmové studio Barrandov,100,N/A,He believes his purifying fire offers the only true liberation for souls as a cold ideology consumes the city.,⚱️💀🕯️🎞️🕴️🎩🏢❄️🩸🌑,"In 1930s Prague, a professional cremator who believes his work liberates the soul descends into madness and murder after joining the Nazi party.",https://www.youtube.com/embed/yMOT553AyAE,verified
"Rome, Open City","Drama, War",1945-09-27,Excelsa Film,100,N/A,Resistance pulses through the shadows of an occupied capital while a final sacrifice echoes against the city walls.,🇮🇹🧱🔫🏚️⛪🕊️🕯️🥀🤐💔,A landmark of neorealism following the intersecting lives of people struggling to survive and resist the Nazi occupation of their beloved city.,https://www.youtube.com/embed/c1P1JRSJT6Q,verified
Sanjuro,"Action, Comedy, Drama",1962-01-01,Toho,100,N/A,A scruffy master teaches nine naive pupils that the sharpest blade is the one that stays in its sheath.,🗡️🍶💮🎋🏯💨⚔️🩸🤫😏,"A cynical and scruffy ronin agrees to help a group of naive young warriors expose corruption within their clan, leading to a legendary standoff.",https://www.youtube.com/embed/Nkrc_FLZWEs,verified
Investigation of a Citizen Above Suspicion,"Crime, Drama, Thriller",1970-02-09,Vera Film S.p.a.,100,N/A,A master of order tests the absolute limits of his immunity by painting a bloody portrait of his own guilt.,🕵️‍♂️⚖️🩸🏛️🇮🇹🚔🎭🚬👤🔪,A high-ranking police official murders his mistress and deliberately leaves clues to see if the law can ever touch a man of his stature.,https://www.youtube.com/embed/PfXZVqdLKcE,verified
Winter Light,Drama,1963-02-11,Svensk Filmindustri,100,N/A,A small rural congregation faces the silence of the divine amidst the chilling reality of a nuclear shadow.,⛪️❄️🙏🤔🕯️🌬️🌫️🕰️📻💔,"Following the death of his wife, a village pastor finds his faith slipping away as he confronts the existential dread of his parishioners.",https://www.youtube.com/embed/S_ihGR6Wung,verified
Yol,Drama,1982-05-19,Güney Film,100,N/A,A temporary release from the confines of stone leads back to the chains of tradition and a land under heavy watch.,⛓️🚶‍♂️🏔️🇹🇷⚖️💔❄️🐎🏠🌧️,Five prisoners granted home leave find themselves still shackled by the harsh social and political realities of their homeland.,https://www.youtube.com/embed/F4xo8hMJ_24,verified
Divorce Italian Style,"Comedy, Drama",1961-12-20,Lux Film,100,N/A,A desperate aristocrat plots a lethal loophole to escape his matrimonial prison in a land where the law offers no exits.,🇮🇹💍🔪👔🚬🤫🎭⛪🍷💔,A Sicilian nobleman trapped in a loveless marriage schemes to catch his wife in an affair so he can kill her and marry his beautiful young cousin.,https://www.youtube.com/embed/J3vFI3k-GT4,verified
An Autumn Afternoon,Drama,1962-11-18,Shochiku,100,N/A,A lingering sense of duty forces a father to confront the inevitable silence of an empty house.,🍂🍶👴👗🍺🥢🏢💔🏠🍱,"In his final masterpiece, an aging patriarch navigates the social pressures and personal loneliness involved in arranging his daughter's marriage.",https://www.youtube.com/embed/_-O_PJLaUrw,verified
The Bad Sleep Well,"Crime, Drama, Thriller",1960-09-15,Toho,100,N/A,A grieving son navigates the heart of corporate rot to expose the men who drove his father to the brink.,🏢💼📉👔🥃🕵️‍♂️🏙️💀💍⚖️,An executive's rise within a corrupt construction firm is actually a calculated infiltration by a man seeking vengeance for his father's forced suicide.,https://www.youtube.com/embed/-_DPoSV-nxM,verified
The Phantom Carriage,"Drama, Fantasy, Horror",1921-01-01,AB Svensk Filmindustri,100,N/A,A midnight clock strike binds a lost soul to the service of the collector of the departed.,🕯️💀⏳🕰️❄️🌙🪦👻🎭🕯️,"On New Year's Eve, a driver of a spectral wagon forces a drunken sinner to reflect on his wasted life and the pain he has caused others before his time runs out.",https://www.youtube.com/embed/DUX2w7TFNHQ,verified
The Last Laugh,Drama,1924-12-23,UFA,100,N/A,"A proud uniform is stripped away, leaving a man to face his reflection in the shadows of a revolving door.",🏨🧥👴📉🌧️🎺💔🚪🍷🚽,"An aging hotel doorman's life collapses after he is demoted to a washroom attendant, losing his status and sense of identity.",https://www.youtube.com/embed/FaXYfIl5_2M,verified
The Cameraman,"Comedy, Romance, Action",1928-09-22,Metro-Goldwyn-Mayer,100,N/A,A desperate suitor trades his portrait lens for a newsreel crank to capture a heart amidst a urban riot.,📸🎥🐒🏙️❤️🚤🏢🎩🎞️🏃,"A tintype photographer falls for a newsreel office worker and attempts to become a cameraman to be near her, leading to slapstick chaos and a heroic rescue.",https://www.youtube.com/embed/9Mm77n-9WzQ,verified
